#lab2b
add-none,1,100,200,130850,654,0
add-none,1,1000,2000,136900,68,0
add-none,1,10000,20000,255927,12,0
add-none,1,100000,200000,1472640,7,0
add-none,2,100,400,153787,384,0
add-none,2,1000,4000,151294,37,27
add-none,2,10000,40000,594980,14,-431
add-none,2,100000,400000,4093155,10,-4010
add-none,4,100,800,186765,233,0
add-none,4,1000,8000,211239,26,1049
add-none,4,10000,80000,1561152,19,-6531
add-none,4,100000,800000,10379936,12,-1438
add-none,8,100,1600,261409,163,14
add-none,8,1000,16000,331869,20,501
add-none,8,10000,160000,2291605,14,9154
add-none,8,100000,1600000,20029222,12,-19512
add-none,12,100,2400,377031,157,0
add-none,12,1000,24000,373721,15,718
add-none,12,10000,240000,3054537,12,3492
add-none,12,100000,2400000,28937381,12,-18045
add-yield-none,2,10,40,147591,3689,0
add-yield-none,2,20,80,143115,1788,14
add-yield-none,2,40,160,163269,1020,0
add-yield-none,2,80,320,180103,562,3
add-yield-none,2,100,400,200218,500,0
add-yield-none,2,1000,4000,805784,201,294
add-yield-none,2,10000,40000,5250223,131,132
add-yield-none,2,100000,400000,51630411,129,-3508
add-yield-none,4,10,80,190912,2386,0
add-yield-none,4,20,160,169772,1061,20
add-yield-none,4,80,640,246486,385,6
add-yield-none,4,100,800,252338,315,63
add-yield-none,4,1000,8000,896286,112,340
add-yield-none,4,10000,80000,7351167,91,25
add-yield-none,4,100000,800000,71865397,89,-1052
add-yield-none,8,10,160,252640,1579,3
add-yield-none,8,20,320,267520,836,11
add-yield-none,8,40,640,288993,451,96
add-yield-none,8,80,1280,315519,246,89
add-yield-none,8,100,1600,304893,190,126
add-yield-none,8,1000,16000,1276384,79,277
add-yield-none,8,10000,160000,11568803,72,-1692
add-yield-none,8,100000,1600000,113640899,71,-6983
add-yield-none,12,10,240,357593,1489,0
add-yield-none,12,20,480,336952,701,3
add-yield-none,12,40,960,360263,375,66
add-yield-none,12,80,1920,396078,206,60
add-yield-none,12,100,2400,392619,163,192
add-yield-none,12,1000,24000,1831934,76,382
add-yield-none,12,10000,240000,17038953,70,-5344
add-yield-none,12,100000,2400000,158336259,65,-23595
add-none,1,10,20,109656,5482,0
add-none,1,20,40,87616,2190,0
add-none,1,40,80,85727,1071,0
add-none,1,80,160,89384,558,0
add-none,1,100,200,86020,430,0
add-none,1,1000,2000,100685,50,0
add-none,1,10000,20000,224530,11,0
add-none,1,100000,200000,1454009,7,0
add-yield-m,2,100,400,270283,675,0
add-yield-m,2,1000,4000,2065025,516,0
add-yield-m,2,10000,40000,20102259,502,0
add-yield-m,4,100,800,624710,780,0
add-yield-m,4,1000,8000,6470226,808,0
add-yield-m,4,10000,80000,62891882,786,0
add-yield-m,8,100,1600,1815566,1134,0
add-yield-m,8,1000,16000,18708827,1169,0
add-yield-m,8,10000,160000,169545500,1059,0
add-yield-m,12,100,2400,2626766,1094,0
add-yield-m,12,1000,24000,24161508,1006,0
add-yield-m,12,10000,240000,244388801,1018,0
add-yield-c,2,100,400,176940,442,-3
add-yield-c,2,1000,4000,932414,233,-9
add-yield-c,2,10000,40000,8147137,203,-4
add-yield-c,4,100,800,290425,363,-21
add-yield-c,4,1000,8000,1818643,227,-548
add-yield-c,4,10000,80000,17400977,217,-5316
add-yield-c,8,100,1600,595503,372,18
add-yield-c,8,1000,16000,4837340,302,115
add-yield-c,8,10000,160000,45849382,286,-951
add-yield-c,12,100,2400,827935,344,-4
add-yield-c,12,1000,24000,7047994,293,14
add-yield-c,12,10000,240000,70378701,293,-1633
add-yield-s,2,100,400,199434,498,0
add-yield-s,2,1000,4000,1629994,407,0
add-yield-s,4,100,800,379004,473,0
add-yield-s,4,1000,8000,4806775,600,0
add-yield-s,8,100,1600,1170757,731,0
add-yield-s,8,1000,16000,15391524,961,0
add-yield-s,12,100,2400,2300544,958,0
add-yield-s,12,1000,24000,21064640,877,0
add-m,1,10000,20000,777727,38,0
add-m,2,10000,40000,2954686,73,0
add-m,4,10000,80000,15779560,197,0
add-m,8,10000,160000,26156701,163,0
add-m,12,10000,240000,34448174,143,0
add-s,1,10000,20000,361956,18,0
add-s,2,10000,40000,2432023,60,0
add-s,4,10000,80000,15339014,191,0
add-s,8,10000,160000,57283109,358,0
add-s,12,10000,240000,114687281,477,0
add-c,1,10000,20000,560142,28,0
add-c,2,10000,40000,6673440,166,-2877
add-c,4,10000,80000,21239278,265,-1702
add-c,8,10000,160000,44931034,280,1064
add-c,12,10000,240000,67227243,280,1481
list-none-none,1,10,1,30,91373,3045
list-none-none,1,100,1,300,120080,400
list-none-none,1,1000,1,3000,3760641,1253
list-none-none,1,10000,1,30000,678270532,22609
list-none-none,1,20000,1,60000,3506243474,58437
list-none-none,2,10,1,60,108503,1808
list-none-none,2,1000,1,6000,36989337,6164
list-none-none,4,10,1,120,112582,938
list-none-none,12,10,1,360,274552,762
list-i-none,2,2,1,12,112586,9382
list-i-none,2,4,1,24,97995,4083
list-i-none,2,8,1,48,115419,2404
list-i-none,2,16,1,96,108930,1134
list-i-none,2,32,1,192,119509,622
list-i-none,4,2,1,24,144872,6036
list-i-none,4,8,1,96,178311,1857
list-i-none,8,2,1,48,179766,3745
list-d-none,2,2,1,12,85410,7117
list-d-none,2,4,1,24,111085,4628
list-d-none,2,8,1,48,117214,2441
list-d-none,2,16,1,96,117734,1226
list-d-none,2,32,1,192,125138,651
list-d-none,4,2,1,24,137705,5737
list-d-none,4,8,1,96,110391,1149
list-d-none,4,16,1,192,141266,735
list-d-none,8,2,1,48,194483,4051
list-d-none,8,4,1,96,247128,2574
list-d-none,8,16,1,384,215527,561
list-d-none,12,2,1,72,256950,3568
list-d-none,12,4,1,144,266620,1851
list-d-none,12,8,1,288,292047,1014
list-d-none,12,16,1,576,323754,562
list-il-none,2,2,1,12,112502,9375
list-il-none,2,4,1,24,108121,4505
list-il-none,2,8,1,48,118025,2458
list-il-none,2,16,1,96,134448,1400
list-il-none,4,2,1,24,149375,6223
list-il-none,4,4,1,48,117520,2448
list-il-none,8,2,1,48,198180,4128
list-il-none,8,4,1,96,1059590,11037
list-il-none,8,8,1,192,227367,1184
list-il-none,12,4,1,144,282979,1965
list-dl-none,2,2,1,12,69108,5759
list-dl-none,2,4,1,24,113656,4735
list-dl-none,2,8,1,48,118037,2459
list-dl-none,2,16,1,96,135909,1415
list-dl-none,2,32,1,192,247924,1291
list-dl-none,4,2,1,24,140009,5833
list-dl-none,4,4,1,48,112915,2352
list-dl-none,4,8,1,96,148877,1550
list-dl-none,4,16,1,192,174363,908
list-dl-none,4,32,1,384,416709,1085
list-dl-none,8,2,1,48,221459,4613
list-dl-none,8,4,1,96,201793,2102
list-dl-none,12,2,1,72,296910,4123
list-dl-none,12,8,1,288,337751,1172
list-none-none,1,1000,1,3000,3811965,1270
list-none-m,1,1000,1,3000,3960447,1320,28
list-none-m,2,1000,1,6000,22157994,3692,103868
list-none-m,4,1000,1,12000,82635069,6886,54100
list-none-m,8,1000,1,24000,349031344,14542,35197
list-none-m,12,1000,1,36000,903687553,25102,6721
list-none-m,16,1000,1,48000,1565257669,32609,36197
list-none-m,24,1000,1,72000,3882548832,53924,457
list-none-s,1,1000,1,3000,3860997,1286
list-none-s,2,1000,1,6000,29548762,4924
list-none-s,4,1000,1,12000,252210172,21017
list-none-s,8,1000,1,24000,1071755806,44656
list-none-s,12,1000,1,36000,2298919913,63858
list-none-s,16,1000,1,48000,6553155038,136524
list-none-s,24,1000,1,72000,18549520122,257632
