#test for add
add-none,1,100,200,122957,614,0
add-none,1,1000,2000,130405,65,0
add-none,1,10000,20000,246939,12,0
add-none,1,100000,200000,1451344,7,0
add-none,2,100,400,129524,323,0
add-none,2,1000,4000,154540,38,109
add-none,2,10000,40000,1951263,48,-276
add-none,2,100000,400000,16008442,40,1360
add-none,4,100,800,160691,200,0
add-none,4,1000,8000,512852,64,568
add-none,4,10000,80000,4494363,56,-194
add-none,4,100000,800000,47044783,58,1500
add-none,8,100,1600,234134,146,0
add-none,8,1000,16000,1254208,78,299
add-none,8,10000,160000,7842285,49,1857
add-none,8,100000,1600000,121013680,75,788
add-none,12,100,2400,324828,135,0
add-none,12,1000,24000,1726747,71,268
add-none,12,10000,240000,15701906,65,-7890
add-none,12,100000,2400000,208358607,86,-80557
add-yield-none,2,10,40,125291,3132,5
add-yield-none,2,20,80,122287,1528,30
add-yield-none,2,40,160,137090,856,69
add-yield-none,2,80,320,146991,459,53
add-yield-none,2,100,400,155470,388,-58
add-yield-none,2,1000,4000,578398,144,30
add-yield-none,2,10000,40000,6895022,172,4722
add-yield-none,2,100000,400000,57962769,144,-34385
add-yield-none,4,10,80,177452,2218,0
add-yield-none,4,20,160,175669,1097,0
add-yield-none,4,80,640,217225,339,33
add-yield-none,4,100,800,199102,248,126
add-yield-none,4,1000,8000,997585,124,-652
add-yield-none,4,10000,80000,6243333,78,104
add-yield-none,4,100000,800000,86164370,107,574
add-yield-none,8,10,160,268126,1675,4
add-yield-none,8,20,320,244036,762,9
add-yield-none,8,40,640,247442,386,-4
add-yield-none,8,80,1280,277699,216,46
add-yield-none,8,100,1600,1455778,909,150
add-yield-none,8,1000,16000,1974100,123,672
add-yield-none,8,10000,160000,15151013,94,-5383
add-yield-none,8,100000,1600000,135696662,84,-20655
add-yield-none,12,10,240,334029,1391,-3
add-yield-none,12,20,480,333073,693,5
add-yield-none,12,40,960,339190,353,68
add-yield-none,12,80,1920,377805,196,7
add-yield-none,12,100,2400,379055,157,340
add-yield-none,12,1000,24000,1907338,79,276
add-yield-none,12,10000,240000,14338283,59,7452
add-yield-none,12,100000,2400000,106224209,44,29558
add-none,1,10,20,127115,6355,0
add-none,1,20,40,119487,2987,0
add-none,1,40,80,116925,1461,0
add-none,1,80,160,114932,718,0
add-none,1,100,200,117324,586,0
add-none,1,1000,2000,129931,64,0
add-none,1,10000,20000,247130,12,0
add-none,1,100000,200000,1452532,7,0
add-yield-m,2,100,400,278456,696,-45
add-yield-m,2,1000,4000,1720468,430,-2
add-yield-m,2,10000,40000,13423580,335,789
add-yield-m,4,100,800,538557,673,75
add-yield-m,4,1000,8000,4840910,605,865
add-yield-m,4,10000,80000,36337056,454,845
add-yield-m,8,100,1600,1236059,772,187
add-yield-m,8,1000,16000,9853966,615,302
add-yield-m,8,10000,160000,86824681,542,1419
add-yield-m,12,100,2400,1743266,726,429
add-yield-m,12,1000,24000,13706939,571,3759
add-yield-m,12,10000,240000,134193815,559,11292
add-yield-c,2,100,400,168889,422,37
add-yield-c,2,1000,4000,687826,171,-221
add-yield-c,2,10000,40000,6100117,152,-315
add-yield-c,4,100,800,302406,378,9
add-yield-c,4,1000,8000,2693370,336,-1301
add-yield-c,4,10000,80000,17715853,221,-3623
add-yield-c,8,100,1600,491635,307,255
add-yield-c,8,1000,16000,2291160,143,201
add-yield-c,8,10000,160000,35440606,221,9529
add-yield-c,12,100,2400,783890,326,298
add-yield-c,12,1000,24000,4468314,186,-545
add-yield-c,12,10000,240000,44824751,186,16522
add-yield-s,2,100,400,206106,515,8
add-yield-s,2,1000,4000,1213394,303,-305
add-yield-s,4,100,800,497841,622,124
add-yield-s,4,1000,8000,3721301,465,397
add-yield-s,8,100,1600,1245655,778,256
add-yield-s,8,1000,16000,10049214,628,681
add-yield-s,12,100,2400,2655822,1106,575
add-yield-s,12,1000,24000,24169269,1007,1509
add-m,1,10000,20000,795041,39,0
add-m,2,10000,40000,3932589,98,245
add-m,4,10000,80000,10139781,126,1809
add-m,8,10000,160000,16254401,101,5004
add-m,12,10000,240000,21312637,88,6329
add-s,1,10000,20000,343216,17,0
add-s,2,10000,40000,4078202,101,5018
add-s,4,10000,80000,18180564,227,4079
add-s,8,10000,160000,60342749,377,12619
add-s,12,10000,240000,110058743,458,43608
add-c,1,10000,20000,537946,26,0
add-c,2,10000,40000,2807070,70,10215
add-c,4,10000,80000,10628745,132,-1094
add-c,8,10000,160000,23285725,145,25504
add-c,12,10000,240000,19167893,79,23784
