#test for list
list-none-none,1,10,1,30,96271,3209
list-none-none,1,100,1,300,122764,409
list-none-none,1,1000,1,3000,3881754,1293
list-none-none,1,10000,1,30000,704747675,23491
list-none-none,1,20000,1,60000,3450518295,57508
list-none-none,2,10,1,60,121581,2026
list-none-none,2,100,1,600,288825,481
list-none-none,2,1000,1,6000,36645636,6107
list-none-none,4,10,1,120,164576,1371
list-none-none,4,100,1,1200,1167228,972
list-i-none,2,4,1,24,125291,5220
list-i-none,2,16,1,96,111512,1161
list-i-none,2,32,1,192,167096,870
list-i-none,4,2,1,24,130799,5449
list-i-none,4,4,1,48,125765,2620
list-i-none,4,16,1,192,144891,754
list-i-none,8,2,1,48,242715,5056
list-i-none,8,8,1,192,245081,1276
list-i-none,12,4,1,144,320494,2225
list-d-none,2,2,1,12,123410,10284
list-d-none,2,4,1,24,112467,4686
list-d-none,2,8,1,48,157303,3277
list-d-none,2,16,1,96,124507,1296
list-d-none,2,32,1,192,119830,624
list-d-none,4,2,1,24,175851,7327
list-d-none,4,4,1,48,163593,3408
list-d-none,4,8,1,96,167158,1741
list-d-none,8,8,1,192,254052,1323
list-d-none,12,2,1,72,294539,4090
list-d-none,12,16,1,576,339736,589
list-il-none,2,2,1,12,86528,7210
list-il-none,2,4,1,24,108455,4518
list-il-none,2,8,1,48,106951,2228
list-il-none,2,16,1,96,122580,1276
list-il-none,2,32,1,192,219034,1140
list-il-none,4,2,1,24,201683,8403
list-il-none,4,4,1,48,165415,3446
list-il-none,8,2,1,48,230252,4796
list-il-none,12,2,1,72,340070,4723
list-dl-none,2,2,1,12,102064,8505
list-dl-none,2,4,1,24,110940,4622
list-dl-none,2,16,1,96,120542,1255
list-dl-none,2,32,1,192,260716,1357
list-dl-none,4,2,1,24,168541,7022
list-dl-none,8,2,1,48,221844,4621
list-dl-none,8,4,1,96,252774,2633
list-dl-none,8,8,1,192,1403085,7307
list-dl-none,8,16,1,384,458989,1195
